Input-node Gene Symbol,Input-node GeneID,Output-node Gene Symbol,Output-node GeneID,Edge direction score
PLK1,5347,CEP55,55165,0.901
ABL1,25,CABLES1,91768,0.778
CBFB,865,RUNX1,861,0.964
TNFRSF8,943,TRAF2,7186,0.983
NFKBIA,4792,HDAC1,3065,0.984
GRB2,2885,PIK3R1,5295,0.897
YY1,7528,E2F3,1871,0.823
PAK1,5058,ZNF768,79724,0.936
PRLR,5618,ZAP70,7535,0.93
SAP30,8819,CIR,9541,0.902
PER3,8863,PER2,8864,0.952
PTPN11,5781,MS4A2,2206,0.855
CD36,948,ITGB1,3688,0.63
BRCA1,672,RBBP4,5928,0.984
EIF2AK1,27102,CDC37,11140,0.8
CBL,867,KHDRBS1,10657,0.862
IL1F7,27178,SMAD3,4088,0.952
TFPI,7035,THBS1,7057,0.558
RARA,5914,IRX4,50805,0.952
CASP7,840,NEDD4,4734,0.862
VDR,7421,NCOA3,8202,0.966
PRMT2,3275,ESR1,2099,0.901
NCL,4691,MYB,4602,0.902
C11orf49,79096,UBE3A,7337,0.952
AMFR,267,CRMP1,1400,0.998
TRIM24,8805,ZNF10,7556,0.984
BTK,695,GRB2,2885,0.994
HNRNPC,3183,UBE2I,7329,0.902
PIK3R1,5295,IRS4,8471,0.895
MAP4K2,5871,XRCC6,2547,0.951
MASP1,5648,NUDT21,11051,0.862
FHL1,2273,HIVEP3,59269,0.823
ADORA2B,136,EZR,7430,0.999
GNAQ,2776,ADRBK1,156,0.982
SREBF1,6720,MEF2C,4208,0.966
KRTAP4-12,83755,CCDC116,164592,0.862
KCNK9,51305,YWHAH,7533,0.798
SHANK1,50944,HOMER1,9456,0.919
CIRBP,1153,ATXN1,6310,0.951
MAP7D1,55700,C7orf64,84060,0.951
THOC7,80145,NIF3L1,60491,0.743
EGFR,1956,CDH1,999,0.547
HMGA1,3159,JUN,3725,0.55
KAT2B,8850,TTF1,7270,0.862
RPS6KB1,6198,PDPK1,5170,0.952
DCTN1,1639,DCTN3,11258,0.951
EEF1G,1937,KARS,3735,0.901
PSMF1,9491,CCDC85B,11007,0.966
HLA-B,3106,MAGEA1,4100,0.862
RNF138,51444,QKI,9444,0.896
ABI1,10006,EPS8,2059,0.951
IGFBP4,3487,IGF1,3479,0.732
SUMO4,387082,PAFAH1B3,5050,0.951
TXN,7295,GFER,2671,0.895
HRK,8739,C1QBP,708,0.798
NEDD4,4734,SMAD5,4090,0.984
CSNK2A1,1457,ACAT2,39,0.732
LCK,3932,BCAR1,9564,0.951
XRCC6,2547,CCT3,7203,0.743
EHMT2,10919,ZNF512B,57473,0.707
NPFF,8620,NPY,4852,0.829
PDK2,5164,HIC2,23119,0.984
CARM1,10498,CREBBP,1387,0.926
PTPRZ1,5803,ADD2,119,0.999
MAPK8,5599,CCDC88C,440193,0.926
DKC1,1736,MAPK6,5597,0.667
SUV39H1,6839,DNMT3B,1789,0.902
POLA1,5422,CDK2,1017,0.984
HK2,3099,UBQLN4,56893,0.901
CD47,961,UBQLN1,29979,0.903
PSMA7,5688,HIF1A,3091,0.964
HSPB1,3315,CYCS,54205,0.558
PHC2,1912,BMI1,648,0.966
TACC3,10460,KAT2A,2648,0.896
ESR1,2099,TRIP4,9325,0.984
TRAF2,7186,FBXO28,23219,0.853
CBL,867,UBE2G1,7326,0.862
EGFR,1956,XRCC6,2547,0.951
GTF2B,2959,TBP,6908,0.55
PDGFRB,5159,CRK,1398,0.994
SNW1,22938,RB1,5925,0.966
ATN1,1822,RUNX1T1,862,0.96
GIT1,28964,C8orf33,65265,0.901
BARD1,580,MSH2,4436,0.667
DLG3,1741,EXOC4,60412,0.987
ATXN1,6310,PUM1,9698,0.862
PSMD11,5717,SETDB1,9869,0.966
HSF1,3297,GTF2A2,2958,0.984
RASIP1,54922,RAP2A,5911,0.798
DOK4,55715,SRC,6714,0.951
C14orf1,11161,CCL18,6362,0.951
TOPBP1,11073,E2F1,1869,0.984
ADRB2,154,IL1B,3553,0.543
DNMT3B,1789,ZNF238,10472,0.984
RGS7,6000,YWHAB,7529,0.901
PLA2G4A,5321,MAPKAPK5,8550,0.951
HIST3H3,8290,SET,6418,0.966
EFNB2,1948,PTPN13,5783,0.951
AP1M1,8907,127557,127557,0.984
EWSR1,2130,RBPMS,11030,0.902
MAPK7,5598,MEF2D,4209,0.984
LTBR,4055,DIABLO,56616,0.999
LRP1,4035,SRC,6714,0.951
TGFBR2,7048,ARHGEF6,9459,0.822
NR4A1,3164,GLOD4,51031,0.798
MDM2,4193,PML,5371,0.951
NFKBIA,4792,SUMO1,7341,0.951
WASF3,10810,ACTB,60,0.951
ROCK1,6093,VIM,7431,0.743
EFEMP2,30008,GLRX3,10539,0.743
GNAI3,2773,RIC8A,60626,0.903
SRF,6722,FHL5,9457,0.823
CASP7,840,CLSPN,63967,0.732
TAF1D,79101,SMARCB1,6598,0.952
PTPN6,5777,PECAM1,5175,0.994
RANGAP1,5905,SUMO3,6612,0.964
AURKB,9212,TACC1,6867,0.798
CCDC85B,11007,SIX1,6495,0.952
CCNA2,890,E2F3,1871,0.952
PTGER2,5732,PTGDS,5730,0.999
SUV39H1,6839,HIST1H3A,8350,0.902
CSNK2A2,1459,SMURF1,57154,0.952
PDGFB,5155,HNRNPC,3183,0.862
ITSN1,6453,TK1,7083,0.901
EXOSC6,118460,MPP6,51678,0.951
CXCR4,7852,PTK2,5747,0.967
GNAI1,2770,PTPRU,10076,0.735
RHOXF2,84528,SFRS16,11129,0.798
EPB49,2039,PRKACA,5566,0.984
FHL3,2275,MED15,51586,0.984
PXN,5829,PDPK1,5170,0.984
SUFU,51684,SAP18,10284,0.984
CASP2,835,KPNA2,3838,0.951
HCLS1,3059,QKI,9444,0.984
TBC1D1,23216,SMAD2,4087,0.667
